uid,facname,address,boro,zipcode,latitude,longitude,factype,optype
112531,Brookville Park,143-10 Brookville Boulevard,Queens,11422,40.662833,-73.742999,Park,Public
101512,SI Levee Project Phase 1,Mill Road,Staten Island,10306,40.555834,-74.110202,Park,Public
134820,Louis Cuvillier Park/Rfk Ramps,2412 1 Avenue,Manhattan,10035,40.800546,-73.930883,Park,Public
76595,Playground,2122 5 Avenue,Manhattan,10037,40.810069,-73.94012,Park,Public
117615,Park R-98,Drumgoole Road East,Staten Island,10312,40.536671,-74.188927,Park,Public
157980,Fresh Meadows Park,Horace Harding Expwy,Queens,11365,40.740822,-73.785205,Park,Public
75577,Park,Drumgoole Road West,Staten Island,10312,40.538519,-74.188903,Park,Public
113783,Sheltering Arms Park,500 West  129 Street,Manhattan,10027,40.815175,-73.955596,Park,Public
74852,Stephen A Rudd Playground,Furman Avenue,Brooklyn,11207,40.683846,-73.905649,Park,Public
94418,Bryant Park,5 Avenue,Manhattan,10018,40.753817,-73.983729,Park,Public
160458,Pier 95,West 55 Street,Manhattan,10019,40.770509,-73.995763,Park,Public
91400,Seabury Park,1700 Southern Boulevard,Bronx,10460,40.836401,-73.888012,Park,Public
162780,Martins Field Playground Addit,165 Street,Queens,11358,40.755575,-73.801934,Park,Public
155490,St Albans Memorial Park,Sayres Avenue,Queens,11433,40.69225,-73.780746,Park,Public
170757,Leif Ericson Playground,6524 8 Avenue,Brooklyn,11220,40.63268,-74.013496,Park,Public
123299,South Shore Residue Landfill,157 Road,Queens,11414,40.658712,-73.859648,Park,Public
137777,NY Botanical Garden/BX Park,2600 Southern Boulevard,Bronx,10458,40.864333,-73.87771,Park,Public
99551,Nellie Bly Park,1842 Shore Parkway,Brooklyn,11214,40.590842,-73.994462,Park,Public
122305,Macombs Dam Park,Maj Wm Deegan Blvd,Bronx,10452,40.828671,-73.931229,Park,Public
159165,Zion Park/Loew Square,Pitkin Avenue,Brooklyn,11212,40.668694,-73.918673,Park,Public
138667,Bronx River Park/Starlight Pk,1374 East 172 Street,Bronx,10472,40.831136,-73.883372,Park,Public
90298,Bryan Park,321 East Fordham Road,Bronx,10458,40.86214,-73.894185,Park,Public
134306,Greenbelt Native Plant Center,Victory Boulevard,Staten Island,10314,40.594263,-74.182093,Park,Public
155917,Abingdon Square.Park,608 Hudson Street,Manhattan,10014,40.737333,-74.005431,Park,Public
117729,Huguenot Ponds Park  R-131,Billiou Street,Staten Island,10312,40.530637,-74.189769,Park,Public
163533,Allison Park,Prospect Avenue,Staten Island,10301,40.637096,-74.101303,Park,Public
107540,Francis Lewis Park,3 Avenue,Queens,11357,40.797425,-73.825683,Park,Public
101412,Rheingold Indsutrial Park,34 Central Avenue,Brooklyn,11206,40.701906,-73.932316,Park,Public
155421,Addition To Socrates Park,Vernon Boulevard,Queens,11106,40.767994,-73.93614,Park,Public
167827,Corona Mac Park,5401 First Street,Queens,11368,40.740335,-73.85909,Park,Public
117636,Part Of Lot 78  R-98,Huguenot Avenue,Staten Island,10312,40.534088,-74.192269,Park,Public
834,Hugh J. Grant Circle Park,East 177 Street,Bronx,10472,40.832975,-73.860968,Park,Public
80020,Linnaeus Playground,57 Avenue,Queens,11364,40.753804,-73.750748,Park,Public
155912,Pier 86- Intrepid,West 46 Street,Manhattan,10036,40.765132,-74.000661,Park,Public
130670,Todd Memorial Square,Columbia Street,Brooklyn,11231,40.672054,-74.008702,Park,Public
113865,Nelson Avenue Waterfront Park,Nelson Avenue,Staten Island,10308,40.540309,-74.14287,Park,Public
79944,M. Fidler/Wycoff House Park,375 East   59 Street,Brooklyn,11203,40.6447,-73.92054,Park,Public
113931,Juniper Valley Park,Juniper Blvd North,Queens,11379,40.721658,-73.874116,Park,Public
153440,Field Of Dreams Park,1115 Southern Boulevard,Bronx,10459,40.826514,-73.892273,Park,Public
88590,Gen. Douglas Macarthur Park,436 East   49 Street,Manhattan,10017,40.752398,-73.965034,Park,Public
42737,Woodland Memorial Park,4327 Oneida Avenue,Bronx,10470,40.899128,-73.873146,Park,Public
34578,Bronx River Houses Playground,East 174 Street,Bronx,10472,40.834347,-73.877765,Park,Public
52327,Seeley Street Park,Seeley Street,Brooklyn,11218,40.65338,-73.977843,Park,Public
123245,Randolph Walker Park,88 Delafield Place,Staten Is,10310,40.643717,-74.108828,Park,Public
118602,Ingram Wood Park,Warwick Avenue,Staten Island,10314,40.609175,-74.136614,Park,Public
48993,Samuel H Young Park,East Tremont Avenue,Bronx,10461,40.841647,-73.838759,Park,Public
107278,Pelham Bay Park,St Lawrence Avenue,Bronx,10475,40.858591,-73.827931,Park,Public
148884,Breukelen Ballfields,925 Williams Avenue,Brooklyn,11207,40.653173,-73.89309,Park,Public
107606,Astoria Park,20-80 Shore Boulevard,Queens,11105,40.784616,-73.917167,Park,Public
134945,Park,596 East  164 Street,Bronx,10456,40.824792,-73.906841,Park,Public
101509,Great Kills Park,Kissam Avenue,Staten Island,10306,40.553992,-74.110422,Park,Public
120353,Manh Br Anchor/Coleman Sq Plgd,Pike Street,Manhattan,10002,40.711228,-73.992883,Park,Public
161323,Stuyvesant Square Park,512 Stuyvesant Square,Manhattan,10003,40.733454,-73.983554,Park,Public
164856,Belmont Playground,670 East 182 Street,Bronx,10457,40.850287,-73.887694,Park,Public
5658,Brower Park/PS 289 Playground,171 Brooklyn Avenue,Brooklyn,11213,40.67397,-73.943689,Park,Public
117812,Huguenot Ponds Park R-131,Comely Street,Staten Island,10312,40.530009,-74.189404,Park,Public
163333,Heisser Square Park,247 Bleecker Street,Brooklyn,11237,40.698729,-73.917904,Park,Public
160308,Future Amusement Park,12 Street,Brooklyn,11224,40.573696,-73.979676,Park,Public
6334,Bushwick HS & Playground(Jop),400 Irving Avenue,Brooklyn,11237,40.696813,-73.911847,Park,Public
96139,Park,1005 Fulton Street,Brooklyn,11238,40.682558,-73.961836,Park,Public
136175,Trump Riverside South Project,Miller Highway,Manhattan,10069,40.777853,-73.988959,Park,Public
165976,Overlook Park,22-08 99 Street,Queens,11369,40.770378,-73.872168,Park,Public
174971,North Shore Esplanade,Richmond Terrace,Staten Island,10301,40.647178,-74.088486,Park,Public
23177,Randalls Island Park,Wards Island,Manhattan,,40.780697,-73.927372,Park,Public
139936,Dream Street Park,223 East  124 Street,Manhattan,10035,40.802788,-73.935164,Park,Public
104628,Bronx River Parkway Park,5501 Bullard Avenue,Bronx,10466,40.902241,-73.859358,Park,Public
111318,IS 2 Playground/Ballfield,Lincoln Avenue,Staten Island,10306,40.575564,-74.100443,Park,Public
122129,La Tourette Park & Golf Course,Richmond Town Road,Staten Island,10306,40.570822,-74.145988,Park,Public
134223,El Jardin Del Paraiso Park,704 East    5 Street,Manhattan,10009,40.722518,-73.979436,Park,Public
5073,PS 3 & Playground,70 Jefferson Avenue,Brooklyn,11216,40.682383,-73.955299,Park,Public
161361,Jackson Square.Park,Jackson Square,Manhattan,10014,40.738925,-74.002847,Park,Public
159014,Alexander Hamilton Square.Park,1684 Amsterdam Avenue,Manhattan,10031,40.824086,-73.948668,Park,Public
117673,Blue Heron Park,Jansen Street,Staten Island,10312,40.53242,-74.169521,Park,Public
95831,Dreier Offerman Park,Cropsey Avenue,Brooklyn,11214,40.58783,-73.989764,Park,Public
100191,Hero Park,Victory Boulevard,Staten Island,10301,40.63005,-74.088626,Park,Public
20332,Brady's Pond Park,Hylan Boulevard,Staten Island,10305,40.604975,-74.07902,Park,Public
110787,West 70th Street Bulkhead,West 72 Street,Manhattan,10069,40.780614,-73.988481,Park,Public
8734,Park,Van Name Avenue,Staten Island,10303,40.624932,-74.154773,Park,Public
23840,Bowling Green Park,Whitehall Street,Manhattan,10004,40.704996,-74.013641,Park,Public
62375,Benjamin Gladstone Square,West Farms Road,Bronx,10459,40.825363,-73.890996,Park,Public
81228,Hammarskjold Plaza Park,833 1 Avenue,Manhattan,10017,40.752277,-73.968895,Park,Public
117699,Bayview Terrace Park,Bayview Terrace,Staten Island,10312,40.526184,-74.165224,Park,Public
122641,Under Brooklyn Bridge,11 Water Street,Brooklyn,11201,40.703481,-73.994128,Park,Public
61299,Sam Curtis Park,8102 Foster Avenue,Brooklyn,11236,40.640797,-73.917599,Park,Public
24408,Brooklyn Children's Museum,145 Brooklyn Avenue,Brooklyn,11213,40.674483,-73.944004,Park,Public
31712,Asser Levy Park Expansion,495 East 23 Street,Manhattan,10010,40.736628,-73.97586,Park,Public
81922,Frank Golden Memorial Park,15 Avenue,Queens,11356,40.784938,-73.831165,Park,Public
23376,HS Graphic Comm Arts & Park,439 West   49 Street,Manhattan,10019,40.763798,-73.990398,Park,Public
8703,Brooklyn Marine Park,Flatbush Avenue,Brooklyn,11234,40.57987,-73.888702,Park,Public
39673,Sherry Park,66 Street,Queens,11377,40.74137,-73.898823,Park,Public
117581,Park,2 West 145 Street,Manhattan,10039,40.819557,-73.933833,Park,Public
156974,Lt Frank J Mcconnel Pk (Q-217),Atlantic Avenue,Queens,11419,40.693974,-73.827396,Park,Public
26224,Ingersoll Houses,65 Park Avenue,Brooklyn,11205,40.697236,-73.977962,Park,Public
81861,Rose Hill Park,East Fordham Road,Bronx,10458,40.862029,-73.89039,Park,Public
75572,Walton Slope (Park Grass Area),Walton Avenue,Bronx,10453,40.845134,-73.911648,Park,Public
116539,Pier 6,Atlantic Avenue,Brooklyn,11201,40.692896,-74.002142,Park,Public
164087,Highland Park,58-02 Vermont Avenue,Queens,11385,40.685539,-73.892392,Park,Public
82803,Waterbury Park/Bufano Plgd,1300 Bradford Avenue,Bronx,10461,40.838008,-73.831001,Park,Public
25250,Randall's Island Park Addition,,Manhattan,,40.791612,-73.915276,Park,Public
43211,Foley Square/ T. Paine Park,501 Centre Street,Manhattan,10007,40.714178,-74.002745,Park,Public
107468,Queensbridge Park,Queens Plaza,Queens,11101,40.753639,-73.946924,Park,Public
156955,Laguardia Landing Lights Park,79-02 25 Avenue,Queens,11370,40.762578,-73.889257,Park,Public
160636,Fresh Kills /Owl Hollow Park,1315 Arthur Kill Road,Staten Island,10314,40.568859,-74.187909,Park,Public
85446,Redfern Houses Playground,15-01 Redfern Avenue,Queens,11691,40.611352,-73.749472,Park,Public
160522,Bailey Playground,3607 Bailey Avenue,Bronx,10463,40.883347,-73.899034,Park,Public
163951,Longfellow Garden,1070 Longfellow Avenue,Bronx,10459,40.825593,-73.887559,Park,Public
170524,F W Plaut Triangle,169-02 Northern Boulevard,Queens,11358,40.758372,-73.797259,Park,Public
161046,Peoples Park,535 East 141 Street,Bronx,10454,40.809485,-73.917005,Park,Public
118061,Park,Harlem River Drive,Manhattan,10039,40.816986,-73.933812,Park,Public
122139,Latourette Park/S.I. Hist Soc,441 Clarke Avenue,Staten Is,10306,40.571268,-74.145923,Park,Public
102785,Harmony Park,1569 Troy Avenue,Brooklyn,11213,40.677932,-73.934435,Park,Public
158471,Vinmont Veteran Park,Mosholu Avenue,Bronx,10471,40.902847,-73.904268,Park,Public
164682,Walton Ave Aa Park,2115 Walton Avenue,Bronx,10453,40.855257,-73.905182,Park,Public
129626,Pugsley Creek  Park,Compton Avenue,Bronx,10473,40.812144,-73.849155,Park,Public
123811,Sherman Creek Wetlands,3759 10 Avenue,Manhattan,10034,40.858458,-73.920874,Park,Public
157826,Cuyler Gore Garden,815 Fulton Street,Brooklyn,11238,40.685325,-73.971465,Park,Public
123826,PS 5,3703 10 Avenue,Manhattan,10034,40.858402,-73.922311,Park,Public
160929,Hines Park,Fulton Avenue,Bronx,10456,40.828601,-73.905657,Park,Public
143075,Lillian D Wald Playground,356 Cherry Street,Manhattan,10002,40.711973,-73.984266,Park,Public
161461,Father Fagan Pk/Charlton Plaza,201 Avenue Of The Americas,Manhattan,10014,40.727274,-74.003514,Park,Public
168858,Park,8 Featherbed Lane,Bronx,10452,40.845427,-73.914478,Park,Public
8301,Starlight Park Addition,East 174 Street,Bronx,10472,40.83424,-73.880751,Park,Public
118064,Park,120 East 138 Street,Manhattan,10037,40.814206,-73.93388,Park,Public
125001,Fd Roosevelt Broadwalk & Beach,Fr Capodanno Blvd,Staten Island,10305,40.578804,-74.078705,Park,Public
126472,Backhoe Gulch Garden,3 Ave,Brooklyn,11215,40.666389,-73.99592,Park,Public
136157,Riverside Park South,72 Street,Manhattan,,40.7795,-73.989796,Park,Public
82716,Bath Beach Playground,17 Ave,Brooklyn,11214,40.602446,-74.011102,Park,Public
160248,Park,West Street,Brooklyn,11224,40.582612,-73.970954,Park,Public
8645,Pleasant Village Community Pk,342 Pleasant Avenue,Manhattan,10035,40.796619,-73.931595,Park,Public
55646,Park,East 163 Street,Bronx,10459,40.820732,-73.890747,Park,Public
20101,Peter Minuit Plaza/Battery Pk,Peter Minuit Plaza,Manhattan,10004,40.701953,-74.013146,Park,Public
160113,Nelson Ave Playground Addition,1074 Nelson Avenue,Bronx,10452,40.834564,-73.927226,Park,Public
159313,Sobel Court Park,Vanderbilt Avenue,Staten Island,10304,40.614963,-74.083938,Park,Public
129609,Park,Husson Avenue,Bronx,10473,40.809494,-73.850422,Park,Public
157426,College Point Industrial Park,20 Avenue,Queens,11356,40.784457,-73.832925,Park,Public
119079,Baruch & Baruch Addition HSes,605 Fdr Drive,Manhattan,10002,40.718169,-73.975518,Park,Public
198301,Tratman Playground,2470 Tratman Avenue,Bronx,10461,40.838727,-73.84556,Park,Public
161526,Daniel Carter Beard Mem Sq,37 Avenue,Queens,11354,40.763628,-73.82931,Park,Public
169920,Park,43 Avenue,Queens,11377,40.741602,-73.897401,Park,Public
21188,Tygre Lie Plaza Sitting Area,725 1 Avenue,Manhattan,10017,40.748583,-73.97038,Park,Public
42743,Queensbridge.Park,Queens Plaza South,Queens,11101,40.754023,-73.947805,Park,Public
78854,Park Strip (Grassy Area),Monroe Avenue,Bronx,10457,40.845204,-73.906346,Park,Public
112897,Walt Whitman Park,Cadman Plaza East,Brooklyn,11201,40.698225,-73.989368,Park,Public
103209,PS 140 & Playground (Jop),178 Rivington Street,Manhattan,10002,40.719148,-73.983774,Park,Public
129540,John Andrews Playground,5-32 49 Avenue,Queens,11101,40.743476,-73.955063,Park,Public
24394,Sound View Park,1124 Harding Park,Bronx,10473,40.808478,-73.858476,Park,Public
152905,Reinhard E Kaltenmeier Plgd,Virginia Avenue,Staten Island,10305,40.614693,-74.06868,Park,Public
180306,J. Driscoll Tucker Place Plgd,Sheepshead Bay Road,Brooklyn,11235,40.583473,-73.941397,Park,Public
82707,Triangle,Washington Avenue,Bronx,10451,40.824562,-73.910859,Park,Public
178061,Park,5 Ave,Brooklyn,11215,40.662933,-73.988873,Park,Public
74860,Tom Mcdonald Triangle,8307 6 Avenue,Brooklyn,11209,40.621916,-74.022597,Park,Public
153486,Socrates Sculpture Park,757 Vernon Boulevard,Queens,,40.769857,-73.935344,Park,Public
155309,Alice Austen House & Park,Edgewater Street,Staten Island,10304,40.616452,-74.063812,Park,Public
43646,NYC Aids Memorial Park,76 Greenwich Avenue,Manhattan,10011,40.737199,-74.00118,Park,Public
107709,Hugh J. Grant Circle,Hugh J Grant Circle,Bronx,10462,40.83334,-73.860993,Park,Public
84971,Park Strip,West 234 Street,Bronx,10463,40.881441,-73.901073,Park,Public
137780,Bronx & Pelham Pkwy,Boston Road,Bronx,10462,40.8569,-73.86972,Park,Public
115642,Wolfes Pond Park   R-31,Hylan Boulevard,Staten Island,10312,40.522323,-74.187713,Park,Public
45977,Park,East River,Brooklyn,11201,40.694153,-74.000483,Park,Public
148877,Duffy Square Park,202 West   47 Street,Manhattan,10036,40.759068,-73.984973,Park,Public
104480,Thomas Boyland Park,Furman Avenue,Brooklyn,11207,40.682003,-73.907516,Park,Public
168344,Claremont Park,1641 Clay Avenue,Bronx,10457,40.842695,-73.905308,Park,Public
115193,Lions Pride Playground,587 Van Sinderen Avenue,Brooklyn,11207,40.66264,-73.899746,Park,Public
107561,Robert Venable Playground,Sutter Avenue,Brooklyn,11208,40.674094,-73.864515,Park,Public
164345,Williamsburg Bridge Plaza,215 Broadway,Brooklyn,11211,40.710033,-73.960164,Park,Public
55651,Paerdegat Basin Park,1440 Paerdegat Avenue North,Brooklyn,11236,40.628414,-73.907547,Park,Public
191482,South Shore Country Club Park,Rumba Place,Staten Island,10312,40.547019,-74.20346,Park,Public
113871,Crescent Beach Park Addition,266 Wiman Avenue,Staten Is,10308,40.537944,-74.143718,Park,Public
76427,J.J. Byrne Memorial Park,4 Ave,Brooklyn,11215,40.673055,-73.985584,Park,Public
26799,Park,16 Street,Brooklyn,11215,40.667325,-73.995033,Park,Public
157950,Peter Detmold Park,East 52 Street,Manhattan,10022,40.753763,-73.963376,Park,Public
118218,Van Cortlandt Park,6200 Broadway,Bronx,10471,40.899993,-73.892219,Park,Public
101392,Bushwick Green/Central Knoll,20 Central Avenue,Brooklyn,11206,40.702203,-73.932831,Park,Public
157326,John Golden Park,32 Avenue,Queens,11361,40.773569,-73.766632,Park,Public
19611,St Nicholas Park,48 St Nicholas Terrace,Manhattan,10027,40.817271,-73.948821,Park,Public
110630,Riverdale Park,,Bronx,,40.8872,-73.923017,Park,Public
118167,Raoul Wallenberg Park,3600 Palisade Avenue,Bronx,10471,40.887599,-73.917689,Park,Public
160227,River Avenue Park,802 River Avenue,Bronx,10451,40.825825,-73.926759,Park,Public
138626,Ellen M. Whalen Park,Grote Street,Bronx,10457,40.851049,-73.8859,Park,Public
166085,Hendrick I Lott House,1951 East   35 Street,Brooklyn,11234,40.610427,-73.932603,Park,Public
131938,Park   R-100,Woodrow Road,Staten Island,10312,40.5494,-74.179891,Park,Public
169370,Marcy Green Center,151 Marcy Avenue,Brooklyn,11211,40.709343,-73.957131,Park,Public
156826,Shore Pkwy/Bensonhurst Park,Shore Parkway,Brooklyn,,40.60242,-74.017053,Park,Public
122189,Evergreen/Siedenburg Park,Evergreen Street,Staten Island,10308,40.55612,-74.14425,Park,Public
165888,Marcy Park South,195 Marcy Avenue,Brooklyn,11211,40.707498,-73.958045,Park,Public
117410,Sara D Roosevelt Park,Chrystie Street,Manhattan,10002,40.721707,-73.991551,Park,Public
47718,Alice Kornegay Triangle,165 East  128 Street,Manhattan,10035,40.80654,-73.935582,Park,Public
130662,Van Voorhees Park,50 Columbia Street,Brooklyn,11201,40.690425,-73.999293,Park,Public
103402,General Worths Square Park,952 Broadway,Manhattan,10010,40.74271,-73.988975,Park,Public
21299,La Tourette Park R-13,Elverton Avenue,Staten Island,10314,40.567875,-74.161671,Park,Public
154628,Kissena Park,Kissena Boulevard,Queens,11365,40.745567,-73.806298,Park,Public
23700,Tribeca Dog Run,114 Warren Street,Manhattan,10007,40.716212,-74.012081,Park,Public
52720,Waterfront Garden,2008 Gildersleeve Avenue,Bronx,10473,40.809755,-73.850548,Park,Public
45659,Bloomingdale Park (R-106),Drumgoole Road West,Staten Island,10309,40.533056,-74.209497,Park,Public
107280,Pellham Bay Park,Bruckner Boulevard,Bronx,10469,40.858757,-73.82712,Park,Public
124516,69th Street Pier,Colonial Road,Brooklyn,11220,40.639248,-74.03674,Park,Public
101343,Richmond Parkway,Amboy Road,Staten Island,10309,40.530764,-74.197241,Park,Public
92409,Fort Totten (Us Army),318 Cross Island Parkway,Queens,11359,40.793,-73.778843,Park,Public
155216,Rodney Park South,282 South    9 Street,Brooklyn,11211,40.707528,-73.957262,Park,Public
160130,Henry Hudson/Pauls Park,Kappock Street,Bronx,10463,40.881861,-73.91881,Park,Public
115039,Grand Ferry Park,1 Grand Street,Brooklyn,11249,40.716716,-73.966908,Park,Public
164633,Jerome Park/Harris Park Annex,3001 Goulden Avenue,Bronx,10468,40.878134,-73.895075,Park,Public
96605,Southern Pkwy,North Conduit Avenue,Queens,11420,40.665869,-73.830072,Park,Public
165596,Hoe Avenue Park,958 Hoe Avenue,Bronx,10459,40.822703,-73.890104,Park,Public
99997,Skyline Playground,Prospect Avenue,Staten Island,10301,40.639058,-74.089337,Park,Public
182366,S.I. Community College Park,Mohn Place,Staten Island,10301,40.60643,-74.109029,Park,Public
103570,Park,Marion Street,Brooklyn,11233,40.681787,-73.912903,Park,Public
105904,William H. Seward Park,57 Essex Street,Manhattan,10002,40.717341,-73.989323,Park,Public
107461,Castle Hill Park,Castle Hill Avenue,Bronx,10473,40.811759,-73.845656,Park,Public
157872,Sunrise Hill Park,Westwood Avenue,Staten Island,10314,40.606411,-74.141863,Park,Public
83549,Kelly Street Park,826 Kelly Street,Bronx,10459,40.818545,-73.897062,Park,Public
154971,Park,Richmond Road,Staten Island,10304,40.610861,-74.08824,Park,Public
110628,Spuyten Duyvil Park/Ctr Plots,Palisade Avenue,Bronx,10463,40.879252,-73.920607,Park,Public
134808,Louis Cuvillier Park,2550 1 Avenue,Manhattan,10035,40.800246,-73.929232,Park,Public
21106,Detective Joseph Mayrose Park,6 Ave,Brooklyn,11215,40.662011,-73.988051,Park,Public
119061,Public Bath House,326 Delancey Street,Manhattan,10002,40.716844,-73.9771,Park,Public
111154,Fort Washington Park,672 Riverside Drive,Manhattan,10031,40.840767,-73.946063,Park,Public
41086,Park Strip,Cross Bronx Expwy,Bronx,10472,40.835524,-73.869676,Park,Public
166093,Crotona Park,Fulton Avenue,Bronx,10457,40.835993,-73.899182,Park,Public
54944,Fresh Kills Landfill,2458 Richmond Avenue,Staten Is,10314,40.578765,-74.171971,Park,Public
150510,Brooklyn Bridge Park,65 Plymouth Street,Brooklyn,11201,40.704188,-73.990605,Park,Public
166254,The High Line/Ems Station 7,507 West   22 Street,Manhattan,10011,40.747571,-74.004988,Park,Public
26856,Thomas J. Cuite Park,648 18 Street,Brooklyn,11218,40.654508,-73.97816,Park,Public
30170,St. Nicholas Houses & Playgrd,2406 Frederick Douglass Boule,Manhattan,10027,40.811515,-73.948374,Park,Public
117678,Bayview Terrace Park  R-137,Boardwalk Avenue,Staten Island,,40.52679,-74.162579,Park,Public
77195,Thomas J Cutie Park,619 19 Street,Brooklyn,11218,40.654233,-73.978657,Park,Public
106814,Grand Army Plaza,5 Avenue,Manhattan,10019,40.764133,-73.97355,Park,Public
42529,Norelli Hargreaves Plgd,106 Avenue,Queens,11435,40.690179,-73.808738,Park,Public
153812,Grant Avenue Park,1311 Grant Avenue,Bronx,10456,40.836312,-73.913691,Park,Public
110740,Whitney Museum/High Line,820 Washington Street,Manhattan,10014,40.73974,-74.008536,Park,Public
159341,Bronx River Parkway.Park,4551 Bullard Avenue,Bronx,10470,40.906161,-73.856045,Park,Public
115331,Southern Parkway,North Conduit Avenue,Queens,11430,40.666892,-73.792872,Park,Public
155721,Father Macris Park,Caswell Avenue,Staten Island,10314,40.616623,-74.161637,Park,Public
106001,Catherine Turner Richardson Pk,42-01 Douglaston Parkway,Queens,11363,40.76833,-73.747213,Park,Public
117464,Dry Dock Playground,149 East   10 Street,Manhattan,10003,40.72546,-73.975456,Park,Public
195985,Goodhue Park,323 Brighton Avenue,Staten Is,10301,40.636616,-74.097674,Park,Public
165078,Park Butter Avenue,Tiber Place,Staten Island,10301,40.605155,-74.110575,Park,Public
169272,Rodney Park Center,293 Rodney Street,Brooklyn,11211,40.708497,-73.956717,Park,Public
32798,Minetta Green Park,294 Avenue Of The Amer,Manhattan,10014,40.730304,-74.001616,Park,Public
75449,Aqueduct Walk/Barnwell Square,2690 Reservoir Avenue,Bronx,10468,40.868112,-73.89969,Park,Public
109598,New Dorp Park,8 Street,Staten Island,10306,40.569786,-74.118414,Park,Public
5729,Fordham Landing Playground,Landing Road,Bronx,10468,40.863366,-73.910279,Park,Public
159310,Maple Woods Park,Richmond Road,Staten Island,10304,40.61127,-74.088284,Park,Public
137774,Bronx Park,Southern Boulevard,Bronx,10458,40.866734,-73.882308,Park,Public
148448,Graniteville Quarry.Park,Forest Avenue,Staten Island,10303,40.625523,-74.15462,Park,Public
52788,Greenpoint Park,34 Commercial Street,Brooklyn,11222,40.735731,-73.95902,Park,Public
88519,Merriam Playground,Ogden Avenue,Bronx,10452,40.838802,-73.926456,Park,Public
77310,PS 309 Playground,794 Monroe Street,Brooklyn,11221,40.688119,-73.924395,Park,Public
156925,Park,36 East 5 Street,Brooklyn,11218,40.652419,-73.977548,Park,Public
19980,Freedom Square,Vleigh Place,Queens,11367,40.723228,-73.820285,Park,Public
107359,Loring Park (Q-95),90-20 149 Avenue,Queens,11417,40.670098,-73.84461,Park,Public
130398,Long Pond Park,Adelphi Avenue,Staten Island,10309,40.516035,-74.231135,Park,Public
138411,Jerome Playground.North,1 East  174 Street,Bronx,10453,40.845564,-73.913476,Park,Public
88912,Fresh Meodows Park,Horace Harding Expwy,Queens,11365,40.74044,-73.786278,Park,Public
87547,Claremont Comm School Garden,3826 Park Avenue,Bronx,10457,40.838577,-73.9038,Park,Public
120785,Farm Colony,415 Rockland Avenue,Staten Is,10314,40.59183,-74.13974,Park,Public
3950,Castle Hill Houses Playground,2180 Randall Avenue,Bronx,10473,40.8193,-73.849601,Park,Public
143816,Pier 4 Park,300 Furman Street,Brooklyn,11201,40.69681,-73.999888,Park,Public
134107,Astoria Houses Playground,1 Street,Queens,11102,40.772008,-73.934288,Park,Public
117805,Arbutus Woods Park  R-133,Colon Street,Staten Island,10312,40.528953,-74.185595,Park,Public
140458,Kissena Corridor Park,Fresh Meadow Lane,Queens,11365,40.746434,-73.793672,Park,Public
47472,Public Park,Laurel Hill Blvd,Queens,11378,40.73464,-73.923843,Park,Public
118183,Wave H/Perkins Botanical Grdns,675 West  252 Street,Bronx,10471,40.900135,-73.912477,Park,Public
156722,West Farms/Vidalia Park,2080 Daly Avenue,Bronx,10460,40.843906,-73.88185,Park,Public
47209,Park,355 Front Street,Staten Island,10304,40.630913,-74.073249,Park,Public
104513,Willowbrook Park,Victory Boulevard,Staten Island,10314,40.605271,-74.157188,Park,Public
118484,Windmuller Park (Q-31),39-02 54 Street,Queens,11377,40.747124,-73.90958,Park,Public
20482,Park,Drumgoole Road West,Staten Island,10312,40.537124,-74.19096,Park,Public
169389,Marcy Green North Park,129 Marcy Avenue,Brooklyn,11211,40.710007,-73.95672,Park,Public
105007,Fort Independence Park,Sedgwick Avenue,Bronx,10463,40.88176,-73.895384,Park,Public
155321,Montefiore Square Park,3394 Broadway,Manhattan,10031,40.821587,-73.953529,Park,Public
161491,Weeping Beech Park,143-35 37 Avenue,Queens,11354,40.763606,-73.824152,Park,Public
102864,Thomas Paine Park/Foley Square,520 Pearl Street,Manhattan,10007,40.715062,-74.002705,Park,Public
115079,Fox Park,744 Fox Street,Bronx,10455,40.815162,-73.898509,Park,Public
77268,Laguardia Approach Lights Park,2413-15 81 Street,Queens,11370,40.764257,-73.887664,Park,Public
163272,Addition To Fort Stirling Park,154 Columbia Heights,Brooklyn,11201,40.698528,-73.996495,Park,Public
117239,Graniteville Swamp Park,Forest Avenue,Staten Island,10303,40.625062,-74.173564,Park,Public
47023,Wood Park,1381 Thieriot Avenue,Bronx,10460,40.835159,-73.865325,Park,Public
107343,Noble Playground,Bronx River Avenue,Bronx,10460,40.837408,-73.873058,Park,Public
2005,Graniteville Quarry State Park,Van Name Avenue,Staten Island,10303,40.624328,-74.154909,Park,Public
171200,Youth Village Park,705 Home Street,Bronx,10456,40.828703,-73.902929,Park,Public
166420,Annuniciation Park/Gatehouse,1491 Amsterdam Avenue,Manhattan,10031,40.817692,-73.952494,Park,Public
19876,Park,Bronx Boulevard,Bronx,10467,40.868718,-73.879467,Park,Public
55822,River Garden,1086 East  180 Street,Bronx,10460,40.841951,-73.876631,Park,Public
58556,Jack Breininger Park,239-12 Braddock Avenue,Queens,11426,40.725827,-73.728978,Park,Public
113581,South St Seaport/Burling Slip,2 Fulton Street,Manhattan,10038,40.706319,-74.00342,Park,Public
198281,Mcdonald Square Park,Gowanus Expressway,Brooklyn,11228,40.625568,-74.017684,Park,Public
